Date,Uniques,People,Visits,Page Views,Mobile Web
40269,11747588,8600926,34796176,532647872,
40299,12914020,9512435,37296948,540280000,
40330,14354238,10510566,42186288,654634432,
40360,15894178,11502011,48489672,796054976,
40391,17272078,12490288,52623392,890989632,
40422,17885260,12697970,58042416,949975680,
40452,19543620,13682499,66247812,1152758272,
40483,21255462,14876519,71802024,1447996160,
40513,22123400,15356831,76648040,1690287104,
40544,25477372,17550350,89743976,2118378496,
40575,28364152,19523976,99431752,2301165568,
40603,29950706,20740012,102498712,2364452352,
40634,34169012,23773100,113756472,2810123008,
40664,36050592,25171076,117920304,2968192000,
40695,40038036,27704266,133635544,3952461312,
40725,40949852,28396444,135301744,5467986944,
40756,44451040,30696310,147535040,5917330432,
40787,42893172,29613140,143125744,5623397888,
40817,46817692,32875280,145261392,5818850816,
40848,49344704,34233752,158779904,6554800640,4943055
40878,57633760,40312588,175415744,7086670848,6839828
40909,61393312,43024632,183317312,7819784192,7277295
40940,67097468,47092508,195438784,7951558656,7895209
40969,63050392,43849896,192582272,7478280704,7844614
41000,68296408,47386080,206870112,8044654080,9040642
41030,64585808,44912904,196377040,7095313920,8086736
41061,56125740,38781812,179469056,7408085504,7251678
41091,58482312,40276592,187893504,7788696576,9483424
41122,64687680,44583532,203155888,7209520128,11566846
41153,64473264,44356548,203986736,6655901184,14002496
41183,70097672,48589760,211806912,6908087808,15271290
41214,76352304,53148696,222232528,7668860416,16365916
41244,73579872,51739476,207906144,7529568256,18129978
41275,75785400,52908104,218539888,7615451648,20719080
41306,71321712,51339176,185091632,6657366016,19871920
41334,65020200,45887920,186736064,6036355072,17604548
41365,67315776,46370232,209991264,5391501824,18301324
41395,64252544,44818252,193385728,5611339776,17250052
